time (s)	object name
0.000000	Ball 15 mm
1.000000	Ball 20 mm
2.000000	Ball 25 mm
3.000000	Ball 30 mm
4.000000	Ball 35 mm
5.000000	Ball 40 mm
6.000000	Bar 10 mm
7.000000	Cube 15 mm
8.000000	Cube 20 mm
9.000000	Cube 25 mm
10.000000	Cube 30 mm
11.000000	Cube 35 mm
12.000000	Cube 40 mm
13.000000	Cylinder H 30 mm
14.000000	Ring 10 mm
15.000000	Ring 20 mm
16.000000	Ring 30 mm
17.000000	Ring 40 mm
18.000000	Ring 50 mm
19.000000	Ring 60 mm
20.000000	Special1
21.000000	Special2
22.000000	Special3
23.000000	Special4
24.000000	Special5
25.000000	Special6
