time (s)	object name
0.000000	Ball 15 mm
1.000000	Ball 20 mm
2.000000	Ball 25 mm
3.000000	Ball 30 mm
4.000000	Ball 35 mm
5.000000	Ball 40 mm
6.000000	Bar 10 mm
7.000000	Bar 15 mm
8.000000	Bar 20 mm
9.000000	Bar 25 mm
10.000000	Bar 30 mm
11.000000	Bar 35 mm
12.000000	Bar 40 mm
13.000000	Cube 15 mm
14.000000	Cube 20 mm
15.000000	Cube 25 mm
16.000000	Cube 30 mm
17.000000	Cube 35 mm
18.000000	Cube 40 mm
19.000000	Cylinder H 15 mm
20.000000	Cylinder H 20 mm
21.000000	Cylinder H 25 mm
22.000000	Cylinder H 30 mm
23.000000	Cylinder H 35 mm
24.000000	Cylinder H 40 mm
25.000000	Cylinder V 15 mm
26.000000	Cylinder V 20 mm
27.000000	Cylinder V 25 mm
28.000000	Cylinder V 30 mm
29.000000	Cylinder V 35 mm
30.000000	Cylinder V 40 mm
31.000000	Power
32.000000	Precision
33.000000	Ring 10 mm
34.000000	Ring 20 mm
35.000000	Ring 30 mm
36.000000	Ring 40 mm
37.000000	Ring 50 mm
38.000000	Ring 60 mm
39.000000	Special1
40.000000	Special2
41.000000	Special3
42.000000	Special4
43.000000	Special5
44.000000	Special6
